happen,2
share unmanned aerial vehicle maker AeroVironment stock fall sky today tumble 8.7% 10:35 a.m. EST,3
Blame investment bank William Blair that,3
morning analyst William Blair downgrade AeroVironment stock outperform market perform (i.e. buy neutral) note write-up StreetInsider.com,3
AeroVironment specialize subset military UAV market designate small unmanned aerial system actually build many different kind drone military but best-know most popular drone,2
Raven small surveillance drone Switchblade small UAV carry warhead attack target kamikaze-style,2
Switchblade William Blair especially worry today,3
Bank explain write-up Pentagon's 2021 defense budget request funding amount,2
$5.45 million qualify second LMAMS system use military,2
currently Switchblade Pentagon's LMAMS choice term refer lethal miniature aerial missile system,2
also source pretty sizable defense contract win AeroVironment,2
thus prospect Pentagon may seek second supplier kamikaze drone pose direct threat AeroVironment's monopoly UAV segment,3
William Blair also mention note AeroVironment's Raven surveillance drone appear lose market share,3
Big Raven business also,2
AeroVironment however appear William Blair's worry focus primarily Switchblade,2
analyst warn,2
follow up interview phone member Switchblade contract office Army Contracting Command Redstone say write-up official tell William Blair RFP second supplier may issue fiscal 2021 second supplier contract start 2023,2
Mark date calendar folk,2
could date AeroVironment lose Switchblade monopoly,3
